patch_id,source_scene,split
ow-0022,S1B_IW_GRDH_1SDV_20190123T035940_20190123T040005_014616_01B3CB_32E6.SAFE,train
ow-0023,S1B_IW_GRDH_1SDV_20190123T035940_20190123T040005_014616_01B3CB_32E6.SAFE,train
ow-0024,S1B_IW_GRDH_1SDV_20190123T035940_20190123T040005_014616_01B3CB_32E6.SAFE,train
ow-0025,S1B_IW_GRDH_1SDV_20190123T035940_20190123T040005_014616_01B3CB_32E6.SAFE,train
ow-0026,S1B_IW_GRDH_1SDV_20190123T035940_20190123T040005_014616_01B3CB_32E6.SAFE,train
ow-0027,S1B_IW_GRDH_1SDV_20190123T035940_20190123T040005_014616_01B3CB_32E6.SAFE,train
ow-0028,S1B_IW_GRDH_1SDV_20190129T154811_20190129T154836_014711_01B6D1_C6CA.SAFE,train
ow-0029,S1B_IW_GRDH_1SDV_20190129T154811_20190129T154836_014711_01B6D1_C6CA.SAFE,train
ow-0031,S1A_IW_GRDH_1SDV_20190202T160514_20190202T160539_025753_02DD0D_CACF.SAFE,train
ow-0032,S1A_IW_GRDH_1SDV_20190202T160514_20190202T160539_025753_02DD0D_CACF.SAFE,train
ow-0033,S1A_IW_GRDH_1SDV_20190202T160514_20190202T160539_025753_02DD0D_CACF.SAFE,train
ow-0035,S1B_IW_GRDH_1SDV_20190208T160430_20190208T160455_014857_01BBA6_8575.SAFE,train
ow-0036,S1B_IW_GRDH_1SDV_20190211T035130_20190211T035155_014893_01BCCD_79F7.SAFE,train
ow-0040,S1A_IW_GRDH_1SDV_20190212T034347_20190212T034412_025891_02E1DC_27C4.SAFE,train
ow-0041,S1A_IW_GRDH_1SDV_20190217T035116_20190217T035141_025964_02E473_BCD6.SAFE,train
ow-0045,S1A_IW_GRDH_1SDV_20190219T033454_20190219T033519_025993_02E57A_9BA8.SAFE,train
ow-0046,S1A_IW_GRDH_1SDV_20190221T155702_20190221T155727_026030_02E6CF_D766.SAFE;S1A_IW_GRDH_1SDV_20190221T155637_20190221T155702_026030_02E6CF_CB00.SAFE,train
ow-0053,S1A_IW_GRDH_1SDV_20190222T040041_20190222T040106_026037_02E70F_5AD5.SAFE,train
ow-0054,S1B_IW_GRDH_1SDV_20190222T154810_20190222T154835_015061_01C24C_9BBE.SAFE,train
ow-0055,S1B_IW_GRDH_1SDV_20190222T154810_20190222T154835_015061_01C24C_9BBE.SAFE,train
ow-0056,S1B_IW_GRDH_1SDV_20190222T154810_20190222T154835_015061_01C24C_9BBE.SAFE,train
ow-0057,S1B_IW_GRDH_1SDV_20190222T154810_20190222T154835_015061_01C24C_9BBE.SAFE,train
ow-0058,S1B_IW_GRDH_1SDV_20190223T035130_20190223T035155_015068_01C287_0DC8.SAFE,train
ow-0059,S1B_IW_GRDH_1SDV_20190223T035130_20190223T035155_015068_01C287_0DC8.SAFE,train
ow-0060,S1A_IW_GRDH_1SDV_20190224T034322_20190224T034347_026066_02E816_1321.SAFE,train
ow-0061,S1A_IW_GRDH_1SDV_20190224T034322_20190224T034347_026066_02E816_1321.SAFE,train
ow-0062,S1A_IW_GRDH_1SDV_20190224T034347_20190224T034412_026066_02E816_11C9.SAFE,train
ow-0063,S1B_IW_GRDH_1SDV_20190304T160429_20190304T160454_015207_01C72A_60D4.SAFE,train
ow-0064,S1A_IW_GRDH_1SDV_20190305T155727_20190305T155752_026205_02ED1B_9DEA.SAFE,train
ow-0065,S1A_IW_GRDH_1SDV_20190305T155702_20190305T155727_026205_02ED1B_0DF1.SAFE,train
ow-0066,S1A_IW_GRDH_1SDV_20190305T155702_20190305T155727_026205_02ED1B_0DF1.SAFE,train
ow-0067,S1A_IW_GRDH_1SDV_20190305T155702_20190305T155727_026205_02ED1B_0DF1.SAFE,train
ow-0068,S1A_IW_GRDH_1SDV_20190305T155727_20190305T155752_026205_02ED1B_9DEA.SAFE,train
ow-0069,S1A_IW_GRDH_1SDV_20190305T155752_20190305T155817_026205_02ED1B_206C.SAFE;S1A_IW_GRDH_1SDV_20190305T155727_20190305T155752_026205_02ED1B_9DEA.SAFE,train
ow-0072,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE;S1B_IW_GRDH_1SDV_20190306T154745_20190306T154810_015236_01C814_B914.SAFE,train
ow-0073,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE;S1B_IW_GRDH_1SDV_20190306T154745_20190306T154810_015236_01C814_B914.SAFE,train
ow-0074,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE;S1B_IW_GRDH_1SDV_20190306T154745_20190306T154810_015236_01C814_B914.SAFE,train
ow-0075,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE;S1B_IW_GRDH_1SDV_20190306T154745_20190306T154810_015236_01C814_B914.SAFE,train
ow-0076,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE;S1B_IW_GRDH_1SDV_20190306T154745_20190306T154810_015236_01C814_B914.SAFE,train
ow-0077,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0078,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0079,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0080,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0081,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0082,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0083,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0084,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0085,S1B_IW_GRDH_1SDV_20190306T154810_20190306T154835_015236_01C814_5AC6.SAFE,train
ow-0086,S1B_IW_GRDH_1SDV_20190307T035129_20190307T035154_015243_01C850_97F9.SAFE;S1B_IW_GRDH_1SDV_20190307T035104_20190307T035129_015243_01C850_7057.SAFE,train
ow-0087,S1B_IW_GRDH_1SDV_20190307T035129_20190307T035154_015243_01C850_97F9.SAFE,train
ow-0088,S1B_IW_GRDH_1SDV_20190307T035129_20190307T035154_015243_01C850_97F9.SAFE,train
ow-0089,S1B_IW_GRDH_1SDV_20190307T035129_20190307T035154_015243_01C850_97F9.SAFE,train
ow-0090,S1B_IW_GRDH_1SDV_20190307T035129_20190307T035154_015243_01C850_97F9.SAFE,train
ow-0091,S1A_IW_GRDH_1SDV_20190308T034412_20190308T034437_026241_02EE61_2777.SAFE,train
ow-0098,S1B_IW_GRDH_1SDV_20190311T155640_20190311T155709_015309_01CA75_E0AC.SAFE,train
ow-0099,S1B_IW_GRDH_1SDV_20190312T035849_20190312T035914_015316_01CAB5_BF4A.SAFE,train
ow-0100,S1B_IW_GRDH_1SDV_20190312T035849_20190312T035914_015316_01CAB5_BF4A.SAFE,train
ow-0101,S1B_IW_GRDH_1SDV_20190312T035849_20190312T035914_015316_01CAB5_BF4A.SAFE,train
ow-0102,S1B_IW_GRDH_1SDV_20190312T035914_20190312T035939_015316_01CAB5_A5CE.SAFE,train
ow-0103,S1B_IW_GRDH_1SDV_20190312T035939_20190312T040004_015316_01CAB5_09EE.SAFE,train
ow-0104,S1B_IW_GRDH_1SDV_20190312T035939_20190312T040004_015316_01CAB5_09EE.SAFE,train
ow-0105,S1B_IW_GRDH_1SDV_20190312T035939_20190312T040004_015316_01CAB5_09EE.SAFE,train
ow-0106,S1B_IW_GRDH_1SDV_20190312T035939_20190312T040004_015316_01CAB5_09EE.SAFE,train
ow-0107,S1B_IW_GRDH_1SDV_20190312T035939_20190312T040004_015316_01CAB5_09EE.SAFE,train
ow-0109,S1A_IW_GRDH_1SDV_20190312T154900_20190312T154925_026307_02F0D5_5A39.SAFE,train
ow-0110,S1A_IW_GRDH_1SDV_20190313T035141_20190313T035206_026314_02F112_DA9D.SAFE,train
ow-0111,S1A_IW_GRDH_1SDV_20190313T035141_20190313T035206_026314_02F112_DA9D.SAFE,train
ow-0112,S1A_IW_GRDH_1SDV_20190313T035141_20190313T035206_026314_02F112_DA9D.SAFE,train
ow-0116,S1B_IW_GRDH_1SDV_20190318T154810_20190318T154835_015411_01CDBD_41F5.SAFE;S1B_IW_GRDH_1SDV_20190318T154745_20190318T154810_015411_01CDBD_E506.SAFE,train
ow-0117,S1B_IW_GRDH_1SDV_20190318T154810_20190318T154835_015411_01CDBD_41F5.SAFE,train
ow-0118,S1B_IW_GRDH_1SDV_20190318T154810_20190318T154835_015411_01CDBD_41F5.SAFE,train
ow-0119,S1B_IW_GRDH_1SDV_20190318T154810_20190318T154835_015411_01CDBD_41F5.SAFE,train
ow-0120,S1B_IW_GRDH_1SDV_20190318T154810_20190318T154835_015411_01CDBD_41F5.SAFE,train
ow-0121,S1B_IW_GRDH_1SDV_20190318T154810_20190318T154835_015411_01CDBD_41F5.SAFE,train
ow-0124,S1B_IW_GRDH_1SDV_20190319T035129_20190319T035154_015418_01CDFB_0728.SAFE,train
ow-0125,S1B_IW_GRDH_1SDV_20190319T035129_20190319T035154_015418_01CDFB_0728.SAFE,train
ow-0126,S1B_IW_GRDH_1SDV_20190319T035129_20190319T035154_015418_01CDFB_0728.SAFE,train
ow-0127,S1B_IW_GRDH_1SDV_20190319T035129_20190319T035154_015418_01CDFB_0728.SAFE,train
ow-0128,S1B_IW_GRDH_1SDV_20190319T035129_20190319T035154_015418_01CDFB_0728.SAFE,train
ow-0129,S1B_IW_GRDH_1SDV_20190319T035129_20190319T035154_015418_01CDFB_0728.SAFE,train
ow-0130,S1A_IW_GRDH_1SDV_20190319T154057_20190319T154122_026409_02F495_3769.SAFE,train
ow-0131,S1A_IW_GRDH_1SDV_20190319T154122_20190319T154147_026409_02F495_4D5C.SAFE;S1A_IW_GRDH_1SDV_20190319T154057_20190319T154122_026409_02F495_3769.SAFE,train
ow-0132,S1A_IW_GRDH_1SDV_20190320T034322_20190320T034347_026416_02F4D4_B411.SAFE,train
ow-0133,S1A_IW_GRDH_1SDV_20190320T034412_20190320T034437_026416_02F4D4_1A96.SAFE,train
ow-0135,S1B_IW_GRDH_1SDV_20190323T155609_20190323T155634_015484_01D019_131C.SAFE,train
ow-0136,S1B_IW_GRDH_1SDV_20190323T155609_20190323T155634_015484_01D019_131C.SAFE,train
ow-0137,S1B_IW_GRDH_1SDV_20190323T155609_20190323T155634_015484_01D019_131C.SAFE,train
ow-0138,S1B_IW_GRDH_1SDV_20190323T155640_20190323T155709_015484_01D01A_DA9D.SAFE,train
ow-0139,S1B_IW_GRDH_1SDV_20190323T155640_20190323T155709_015484_01D01A_DA9D.SAFE,train
ow-0140,S1B_IW_GRDH_1SDV_20190323T155640_20190323T155709_015484_01D01A_DA9D.SAFE,train
ow-0141,S1B_IW_GRDH_1SDV_20190323T155640_20190323T155709_015484_01D01A_DA9D.SAFE,train
ow-0142,S1A_IW_GRDH_1SDV_20190324T154901_20190324T154926_026482_02F74C_6168.SAFE,train
ow-0143,S1A_IW_GRDH_1SDV_20190324T154901_20190324T154926_026482_02F74C_6168.SAFE,train
ow-0144,S1A_IW_GRDH_1SDV_20190325T035207_20190325T035232_026489_02F78B_61BC.SAFE,train
ow-0146,S1A_IW_GRDH_1SDV_20190325T035207_20190325T035232_026489_02F78B_61BC.SAFE,train
ow-0147,S1A_IW_GRDH_1SDV_20190325T035207_20190325T035232_026489_02F78B_61BC.SAFE,train
ow-0148,S1A_IW_GRDH_1SDV_20190325T035207_20190325T035232_026489_02F78B_61BC.SAFE,train
ow-0149,S1A_IW_GRDH_1SDV_20190325T035207_20190325T035232_026489_02F78B_61BC.SAFE,train
ow-0150,S1A_IW_GRDH_1SDV_20190329T155702_20190329T155727_026555_02F9F6_EC3A.SAFE,train
ow-0151,S1B_IW_GRDH_1SDV_20190330T154835_20190330T154900_015586_01D376_146D.SAFE,train
ow-0152,S1B_IW_GRDH_1SDV_20190330T154835_20190330T154900_015586_01D376_146D.SAFE,train
ow-0153,S1A_IW_GRDH_1SDV_20190401T034322_20190401T034347_026591_02FB4C_1C41.SAFE,train
ow-0154,S1A_IW_GRDH_1SDV_20190401T034322_20190401T034347_026591_02FB4C_1C41.SAFE,train
ow-0155,S1B_IW_GRDH_1SDV_20190404T155610_20190404T155635_015659_01D5E2_CCBC.SAFE,train
ow-0156,S1B_IW_GRDH_1SDV_20190404T155610_20190404T155635_015659_01D5E2_CCBC.SAFE,train
ow-0157,S1B_IW_GRDH_1SDV_20190404T155610_20190404T155635_015659_01D5E2_CCBC.SAFE,train
ow-0158,S1B_IW_GRDH_1SDV_20190404T155610_20190404T155635_015659_01D5E2_CCBC.SAFE,train
ow-0159,S1B_IW_GRDH_1SDV_20190404T155610_20190404T155635_015659_01D5E2_CCBC.SAFE,train
ow-0160,S1B_IW_GRDH_1SDV_20190404T155610_20190404T155635_015659_01D5E2_CCBC.SAFE,train
ow-0161,S1B_IW_GRDH_1SDV_20190404T155610_20190404T155635_015659_01D5E2_CCBC.SAFE,train
ow-0162,S1B_IW_GRDH_1SDV_20190405T035850_20190405T035915_015666_01D628_CFEF.SAFE,train
ow-0163,S1B_IW_GRDH_1SDV_20190405T035850_20190405T035915_015666_01D628_CFEF.SAFE,train
ow-0168,S1A_IW_GRDH_1SDV_20190405T154836_20190405T154901_026657_02FDC3_95CA.SAFE,train
ow-0169,S1A_IW_GRDH_1SDV_20190405T154836_20190405T154901_026657_02FDC3_95CA.SAFE,train
ow-0171,S1A_IW_GRDH_1SDV_20190405T154901_20190405T154926_026657_02FDC3_00D2.SAFE,train
ow-0172,S1A_IW_GRDH_1SDV_20190405T154901_20190405T154926_026657_02FDC3_00D2.SAFE,train
ow-0173,S1A_IW_GRDH_1SDV_20190405T154901_20190405T154926_026657_02FDC3_00D2.SAFE,train
ow-0175,S1A_IW_GRDH_1SDV_20190406T035207_20190406T035232_026664_02FE02_3AA5.SAFE,train
ow-0176,S1A_IW_GRDH_1SDV_20190406T035142_20190406T035207_026664_02FE02_BB0A.SAFE,train
ow-0177,S1A_IW_GRDH_1SDV_20190406T035207_20190406T035232_026664_02FE02_3AA5.SAFE;S1A_IW_GRDH_1SDV_20190406T035142_20190406T035207_026664_02FE02_BB0A.SAFE,train
ow-0178,S1A_IW_GRDH_1SDV_20190406T035207_20190406T035232_026664_02FE02_3AA5.SAFE,train
ow-0179,S1A_IW_GRDH_1SDV_20190406T035207_20190406T035232_026664_02FE02_3AA5.SAFE,train
ow-0180,S1A_IW_GRDH_1SDV_20190406T035232_20190406T035258_026664_02FE02_55D2.SAFE,train
ow-0181,S1B_IW_GRDH_1SDV_20190406T154032_20190406T154057_015688_01D6ED_B234.SAFE,train
ow-0182,S1B_IW_GRDH_1SDV_20190406T154032_20190406T154057_015688_01D6ED_B234.SAFE,train
ow-0183,S1B_IW_GRDH_1SDV_20190406T154032_20190406T154057_015688_01D6ED_B234.SAFE,train
ow-0184,S1B_IW_GRDH_1SDV_20190406T154032_20190406T154057_015688_01D6ED_B234.SAFE,train
ow-0185,S1B_IW_GRDH_1SDV_20190407T034259_20190407T034324_015695_01D728_6F12.SAFE,train
ow-0186,S1A_IW_GRDH_1SDV_20190408T033454_20190408T033519_026693_02FF08_729E.SAFE,train
ow-0187,S1A_IW_GRDH_1SDV_20190410T155702_20190410T155727_026730_030069_18D5.SAFE,train
ow-0188,S1A_IW_GRDH_1SDV_20190410T155702_20190410T155727_026730_030069_18D5.SAFE,train
ow-0192,S1B_IW_GRDH_1SDV_20190411T154836_20190411T154901_015761_01D947_D398.SAFE,train
ow-0193,S1B_IW_GRDH_1SDV_20190411T154836_20190411T154901_015761_01D947_D398.SAFE,train
ow-0194,S1B_IW_GRDH_1SDV_20190411T154836_20190411T154901_015761_01D947_D398.SAFE,train
ow-0195,S1B_IW_GRDH_1SDV_20190411T154836_20190411T154901_015761_01D947_D398.SAFE,train
ow-0196,S1B_IW_GRDH_1SDV_20190412T035105_20190412T035130_015768_01D985_01C9.SAFE,train
ow-0197,S1B_IW_GRDH_1SDV_20190412T035040_20190412T035105_015768_01D985_9F88.SAFE,train
ow-0198,S1B_IW_GRDH_1SDV_20190412T035105_20190412T035130_015768_01D985_01C9.SAFE,train
ow-0199,S1B_IW_GRDH_1SDV_20190412T035105_20190412T035130_015768_01D985_01C9.SAFE,train
ow-0200,S1B_IW_GRDH_1SDV_20190412T035105_20190412T035130_015768_01D985_01C9.SAFE,train
ow-0201,S1B_IW_GRDH_1SDV_20190412T035105_20190412T035130_015768_01D985_01C9.SAFE,train
ow-0202,S1B_IW_GRDH_1SDV_20190412T035105_20190412T035130_015768_01D985_01C9.SAFE,train
ow-0203,S1B_IW_GRDH_1SDV_20190412T035130_20190412T035155_015768_01D985_E914.SAFE,train
ow-0204,S1A_IW_GRDH_1SDV_20190412T154123_20190412T154148_026759_03016C_2C5E.SAFE,train
ow-0205,S1B_IW_GRDH_1SDV_20190416T155710_20190416T155735_015834_01DBB3_443C.SAFE,train
ow-0206,S1A_IW_GRDH_1SDV_20190422T155703_20190422T155728_026905_0306B7_01CA.SAFE,train
ow-0207,S1A_IW_GRDH_1SDV_20190422T155753_20190422T155818_026905_0306B7_9E35.SAFE,train
ow-0208,S1A_IW_GRDH_1SDV_20190423T040043_20190423T040108_026912_0306F7_63E0.SAFE;S1A_IW_GRDH_1SDV_20190423T040018_20190423T040043_026912_0306F7_E21A.SAFE,train
ow-0209,S1B_IW_GRDH_1SDV_20190423T154811_20190423T154836_015936_01DF14_D0D6.SAFE,train
ow-0210,S1B_IW_GRDH_1SDV_20190423T154811_20190423T154836_015936_01DF14_D0D6.SAFE,train
ow-0211,S1B_IW_GRDH_1SDV_20190423T154811_20190423T154836_015936_01DF14_D0D6.SAFE,train
ow-0212,S1B_IW_GRDH_1SDV_20190423T154811_20190423T154836_015936_01DF14_D0D6.SAFE,train
ow-0213,S1B_IW_GRDH_1SDV_20190423T154836_20190423T154901_015936_01DF14_E7F4.SAFE,train
ow-0214,S1B_IW_GRDH_1SDV_20190423T154836_20190423T154901_015936_01DF14_E7F4.SAFE,train
ow-0215,S1B_IW_GRDH_1SDV_20190423T154836_20190423T154901_015936_01DF14_E7F4.SAFE,train
ow-0217,S1A_IW_GRDH_1SDV_20190424T154123_20190424T154148_026934_0307C2_8DFF.SAFE,train
ow-0218,S1A_IW_GRDH_1SDV_20190425T034413_20190425T034438_026941_030806_CB88.SAFE;S1A_IW_GRDH_1SDV_20190425T034348_20190425T034413_026941_030806_FC8B.SAFE,train
ow-0219,S1A_IW_GRDH_1SDV_20190425T034323_20190425T034348_026941_030806_C553.SAFE,train
ow-0220,S1A_IW_GRDH_1SDV_20190425T034323_20190425T034348_026941_030806_C553.SAFE,train
ow-0221,S1A_IW_GRDH_1SDV_20190425T034348_20190425T034413_026941_030806_FC8B.SAFE,train
ow-0222,S1B_IW_GRDH_1SDV_20190426T033434_20190426T033459_015972_01E03C_59CB.SAFE;S1B_IW_GRDH_1SDV_20190426T033409_20190426T033434_015972_01E03C_2784.SAFE,train
ow-0223,S1A_IW_GRDH_1SDV_20190427T160515_20190427T160540_026978_03096D_9164.SAFE,train
ow-0224,S1A_IW_GRDH_1SDV_20190427T160515_20190427T160540_026978_03096D_9164.SAFE,train
ow-0225,S1B_IW_GRDH_1SDV_20190428T155611_20190428T155636_016009_01E182_C2CE.SAFE,train
ow-0227,S1B_IW_GRDH_1SDV_20190429T035851_20190429T035916_016016_01E1C8_1C16.SAFE,train
ow-0228,S1B_IW_GRDH_1SDV_20190429T035916_20190429T035941_016016_01E1C8_BA61.SAFE,train
ow-0229,S1A_IW_GRDH_1SDV_20190429T154927_20190429T154952_027007_030A73_C58E.SAFE,train
ow-0230,S1A_IW_GRDH_1SDV_20190429T154837_20190429T154902_027007_030A73_8C50.SAFE,train
ow-0231,S1A_IW_GRDH_1SDV_20190429T154837_20190429T154902_027007_030A73_8C50.SAFE,train
ow-0232,S1A_IW_GRDH_1SDV_20190429T154837_20190429T154902_027007_030A73_8C50.SAFE,train
ow-0233,S1A_IW_GRDH_1SDV_20190429T154902_20190429T154927_027007_030A73_CA6D.SAFE,train
ow-0234,S1A_IW_GRDH_1SDV_20190429T154902_20190429T154927_027007_030A73_CA6D.SAFE,train
ow-0235,S1A_IW_GRDH_1SDV_20190429T154902_20190429T154927_027007_030A73_CA6D.SAFE,train
ow-0236,S1A_IW_GRDH_1SDV_20190429T154902_20190429T154927_027007_030A73_CA6D.SAFE,train
ow-0237,S1A_IW_GRDH_1SDV_20190429T154902_20190429T154927_027007_030A73_CA6D.SAFE,train
ow-0238,S1A_IW_GRDH_1SDV_20190430T035208_20190430T035233_027014_030AB6_6298.SAFE,train
ow-0239,S1A_IW_GRDH_1SDV_20190430T035208_20190430T035233_027014_030AB6_6298.SAFE,train
ow-0240,S1A_IW_GRDH_1SDV_20190430T035233_20190430T035259_027014_030AB6_B4D3.SAFE;S1A_IW_GRDH_1SDV_20190430T035208_20190430T035233_027014_030AB6_6298.SAFE,train
ow-0241,S1A_IW_GRDH_1SDV_20190430T035233_20190430T035259_027014_030AB6_B4D3.SAFE;S1A_IW_GRDH_1SDV_20190430T035208_20190430T035233_027014_030AB6_6298.SAFE,train
ow-0242,S1A_IW_GRDH_1SDV_20190430T035233_20190430T035259_027014_030AB6_B4D3.SAFE,train
ow-0247,S1B_IW_GRDH_1SDV_20190501T034334_20190501T034359_016045_01E2CB_7F2B.SAFE;S1B_IW_GRDH_1SDV_20190501T034309_20190501T034334_016045_01E2CB_53B9.SAFE,train
ow-0248,S1B_IW_GRDH_1SDV_20190501T034334_20190501T034359_016045_01E2CB_7F2B.SAFE;S1B_IW_GRDH_1SDV_20190501T034309_20190501T034334_016045_01E2CB_53B9.SAFE,train
ow-0251,S1B_IW_GRDH_1SDV_20190505T154902_20190505T154927_016111_01E4F1_B729.SAFE;S1B_IW_GRDH_1SDV_20190505T154837_20190505T154902_016111_01E4F1_83FC.SAFE,train
ow-0255,S1B_IW_GRDH_1SDV_20190506T035131_20190506T035156_016118_01E530_855F.SAFE,train
ow-0256,S1A_IW_GRDH_1SDV_20190507T034323_20190507T034348_027116_030E69_EB1D.SAFE,train
ow-0261,S1B_IW_GRDH_1SDV_20190510T155642_20190510T155711_016184_01E73D_7764.SAFE,train
ow-0262,S1B_IW_GRDH_1SDV_20190510T155642_20190510T155711_016184_01E73D_7764.SAFE,train
ow-0263,S1B_IW_GRDH_1SDV_20190511T040006_20190511T040030_016191_01E77E_DF94.SAFE;S1B_IW_GRDH_1SDV_20190511T035941_20190511T040006_016191_01E77E_E4AA.SAFE,train
ow-0264,S1A_IW_GRDH_1SDV_20190511T154837_20190511T154902_027182_031070_1CA1.SAFE,train
ow-0271,S1B_IW_GRDH_1SDV_20190512T154033_20190512T154058_016213_01E833_AEAB.SAFE,train
ow-0272,S1B_IW_GRDH_1SDV_20190512T154033_20190512T154058_016213_01E833_AEAB.SAFE,train
ow-0274,S1B_IW_GRDH_1SDV_20190513T034334_20190513T034359_016220_01E86A_D898.SAFE,train
ow-0275,S1B_IW_GRDH_1SDV_20190513T034334_20190513T034359_016220_01E86A_D898.SAFE,train
ow-0276,S1B_IW_GRDH_1SDV_20190515T160431_20190515T160456_016257_01E988_22CD.SAFE,train
ow-0277,S1A_IW_GRDH_1SDV_20190516T155704_20190516T155729_027255_0312B7_4067.SAFE,train
ow-0278,S1A_IW_GRDH_1SDV_20190516T155704_20190516T155729_027255_0312B7_4067.SAFE,train
ow-0279,S1A_IW_GRDH_1SDV_20190516T155729_20190516T155754_027255_0312B7_C2C9.SAFE,train
ow-0280,S1A_IW_GRDH_1SDV_20190516T155729_20190516T155754_027255_0312B7_C2C9.SAFE,train
ow-0281,S1B_IW_GRDH_1SDV_20190518T035107_20190518T035132_016293_01EAA1_3D2D.SAFE,train
ow-0282,S1B_IW_GRDH_1SDV_20190518T035107_20190518T035132_016293_01EAA1_3D2D.SAFE,train
ow-0283,S1B_IW_GRDH_1SDV_20190518T035107_20190518T035132_016293_01EAA1_3D2D.SAFE,train
ow-0284,S1B_IW_GRDH_1SDV_20190518T035132_20190518T035157_016293_01EAA1_93CF.SAFE,train
ow-0285,S1B_IW_GRDH_1SDV_20190518T035132_20190518T035157_016293_01EAA1_93CF.SAFE,train
ow-0286,S1B_IW_GRDH_1SDV_20190518T035132_20190518T035157_016293_01EAA1_93CF.SAFE,train
ow-0287,S1B_IW_GRDH_1SDV_20190518T035132_20190518T035157_016293_01EAA1_93CF.SAFE,train
ow-0288,S1B_IW_GRDH_1SDV_20190518T035132_20190518T035157_016293_01EAA1_93CF.SAFE,train
ow-0289,S1A_IW_GRDH_1SDV_20190518T154059_20190518T154124_027284_03139E_2F70.SAFE;S1A_IW_GRDH_1SDV_20190518T154034_20190518T154059_027284_03139E_215A.SAFE,train
ow-0290,S1A_IW_GRDH_1SDV_20190518T154124_20190518T154149_027284_03139E_D17A.SAFE;S1A_IW_GRDH_1SDV_20190518T154059_20190518T154124_027284_03139E_2F70.SAFE,train
ow-0291,S1A_IW_GRDH_1SDV_20190518T154124_20190518T154149_027284_03139E_D17A.SAFE,train
ow-0294,S1A_IW_GRDH_1SDV_20190519T034414_20190519T034439_027291_0313E1_23BF.SAFE,train
ow-0298,S1B_IW_GRDH_1SDV_20190522T155643_20190522T155712_016359_01ECA7_4C33.SAFE,train
ow-0299,S1B_IW_GRDH_1SDV_20190522T155643_20190522T155712_016359_01ECA7_4C33.SAFE,train
